checkpoint_id,pillar,aspect,score,maturity,evidence_link,notes
E1,Enhancing,AI quantitatively improves outcomes,,,,
E2,Enhancing,Complementary/contrasting evaluation metrics used,,,,
E3,Enhancing,Improvement vs. human baseline reported,,,,
E4,Enhancing,Tested under realistic/production conditions,,,,
E5,Enhancing,Edge conditions and limitations reported,,,,
E6,Enhancing,Cost/benefit clearly and numerically demonstrated,,,,
E7,Enhancing,Periodic re-evaluation planned and scheduled,,,,
T1,Transparent,Full model/system documentation available,,,,
T2,Transparent,Decisions explainable in domain experts language,,,,
T3,Transparent,Simplified rationale for non-experts used,,,,
T4,Transparent,Data lineage clearly tracked and reported,,,,
T5,Transparent,Features and variables influencing outputs disclosed,,,,
T6,Transparent,"Assumptions, limitations, and hardcoded terms explicitly reported",,,,
T7,Transparent,Justification reproducible and traceable at decision time,,,,
H1,Human-Centered,Human-in-the-loop oversight enabled,,,,
H2,Human-Centered,Easy and safe override mechanisms exist,,,,
H3,Human-Centered,Alerts are actionable with enough context and instructions,,,,
H4,Human-Centered,Interfaces support usability defined by known design patterns,,,,
H5,Human-Centered,Appeals process for customers formally put in place,,,,
H6,Human-Centered,User feedback loop integrated to training/enhancement process,,,,
H7,Human-Centered,Social impact assessed and disclosed,,,,
I1,Imputable,Full audit trail of model activity available,,,,
I2,Imputable,Traceability enabled from input to decision,,,,
I3,Imputable,"Logs include metadata, data, parameters, outputs",,,,
I4,Imputable,Native top-down monitoring enabled,,,,
I5,Imputable,Governance roles assigned and embodied,,,,
I6,Imputable,Evidence retention aligned with policy and needs,,,,
I7,Imputable,Automated alerts for anomalous or non-compliant behavior,,,,
C1,Credible,Independent validation possible,,,,
C2,Credible,Stress-tested under edge cases,,,,
C3,Credible,Bias tested across subgroups,,,,
C4,Credible,Fairness metrics regularly reported,,,,
C5,Credible,Explanations faithful and consistent,,,,
C6,Credible,Claims are supported by evidence and reproducible,,,,
C7,Credible,Private and public benchmarks used,,,,
S1,Secure,Data encrypted at rest and in transit,,,,
S2,Secure,Access controlled and logged,,,,
S3,Secure,Model hardened against adversarial inputs,,,,
S4,Secure,Regular penetration testing performed,,,,
S5,Secure,Incident response plan defined,,,,
S6,Secure,Security monitoring continuous,,,,
S7,Secure,Third-party dependencies vetted,,,,
